ZINC00003876,Cc1ccc(cc1)c1nc2n(c1CC(=O)N(C)C)cc(cc2)C
ZINC00003897,C[NH+]1CCc2c([C@@H]3[C@@H]1CCc1c3cccc1)cc(c(c2)Cl)O
ZINC00003911,Oc1ccc(cc1)CC[C@H]([NH2+]CCc1ccc(c(c1)O)O)C
ZINC00003941,CC(=O)NCCc1c(Cc2ccccc2)[nH]c2c1cccc2
ZINC00003961,COc1cc(N)c(cc1C(=O)N[C@@H]1C[NH+]2CCC1CC2)Cl
ZINC00004009,Fc1ccc(c(c1)F)C(Cn1cncn1)(Cn1cncn1)O
ZINC00004028,CCC[NH+]([C@H]1CCc2c(C1)cccc2O)CCc1cccs1
ZINC00004035,O=C1[C@H](CCc2c1c1cccc3c1n2CCC3)Cn1cc[nH+]c1C
ZINC00004041,Fc1ccc(cc1)CC1CC[NH+](CC1)C[C@H](c1ccc(cc1)Cl)O
ZINC00004076,CNS(=O)(=O)CCc1ccc2c(c1)c(c[nH]2)C1CC[NH+](CC1)C
ZINC00004085,S=c1[nH]ccn1CCc1cccs1
ZINC00004090,CCC[NH+]1CCC[C@H]2[C@H]1COc1c2cc(cc1)O
ZINC00004140,C[NH+]1CCC2(CC1)CC(=C)[C@H](O2)C
ZINC00004220,CC(n1c(=O)c2c(ncn2c2c1cccc2)c1noc(n1)C1CC1)C
ZINC00004227,CC[NH+]([C@H](CN1c2ccccc2Sc2c1cccc2)C)CC
ZINC00004234,CC(C(=O)c1c(nn2c1cccc2)C(C)C)C
ZINC00004264,Nc1ccc(cc1)C1=NN=C(Cc2c1cc1OCOc1c2)C
ZINC00004285,Clc1cccc(c1)N1CC[NH2+]CC1
ZINC00004294,ONC(=O)CN(C(=O)[C@@H]1CCCC[C@@H]1C(=O)[O-])C
ZINC00004321,NS(=O)(=O)Cc1noc2c1cccc2
ZINC00004333,CCOC(=O)/C(=C/c1ccc(c(c1)O)O)/C
ZINC00004346,Cc1[nH]cnc1Cc1scc(n1)c1ccccc1
ZINC00004351,C[NH+]1CCC(=C2c3ccccc3CC(=O)c3c2ccs3)CC1
ZINC00004382,O=C([C@@H](SC(=O)c1cccs1)C)N[C@H]1CCSC1=O
ZINC00004413,CCN(C(=O)Oc1cccc(c1)[C@@H]([NH+](C)C)C)C
ZINC00004439,O=c1ccc2c([nH]1)c(c[nH]2)C1=CC[NH2+]CC1
ZINC00004448,O=C1[C@H](CCc2c1c1ccccc1n2C)Cn1cc[nH+]c1C
ZINC00004507,CCCC(=O)N(Cc1c(nc2n1cccc2)c1ccc(cc1)Cl)C
ZINC00004531,[NH3+]CC[C@@H](c1ccccc1)Oc1ccc(cc1)C(F)(F)F
ZINC00004620,CCn1c(=O)n(c2c1cccc2)C(=O)NC1C[C@@H]2CC[C@H](C1)[NH+]2C
ZINC00004689,N
ZINC00004726,Clc1ccc(cc1)S(=O)(=O)N
ZINC00004739,O=c1c2ccccc2nc(n1c1ccccc1)C(F)(F)F
ZINC00004763,[O-]C(=O)CCc1c([nH]c2c1c(Cl)cc(c2)Cl)C(=O)[O-]
ZINC00004778,Cc1ccnc2c1[nH]c(=O)c1c(n2C2CC2)nccc1
ZINC00004779,CC([NH2+]C[C@H](COc1ccc(cc1)CCNC(=O)NC(C)C)O)C
ZINC00004840,O=C(c1cnoc1C)Nc1ccc(cc1)C(F)(F)F
ZINC00004855,[nH+]1ccc(cc1)NN1CCc2c1cccc2
ZINC00004888,O=C1[C@@H]2[NH2+]CC[C@H](N1O)C2
ZINC00004898,Nc1ccc(cc1)c1cc(=O)c2c(o1)ccc(c2)O
ZINC00004902,O=C(c1ccc(cc1)F)CC1CC[NH+](CC1)CC1CC1
ZINC00004949,[NH3+]CC1(CCCCC1)CC(=O)[O-]
ZINC00004982,COc1ccc(cc1OC1CCCC1)[C@@H]1CNC(=O)C1
ZINC00005030,Clc1cncc(n1)[C@H]1C[NH+]2CCC1CC2
ZINC00005099,Cc1nc(sc1CC[NH3+])N
ZINC00005152,[NH3+]C[C@H](CC(=O)[O-])CC(C)C
ZINC00005155,O=C1CN=C(c2c(N1)ccc(c2)Cl)c1[nH]ccc1
ZINC00005191,COc1cc(OC)cc(c1C(=O)CCC[NH+]1CCCC1)OC
ZINC00005258,Oc1ccc(cc1)CCNc1nc2nc(nn2c([nH+]1)N)c1ccco1
ZINC00005284,[O-]C(=O)c1ccc(cn1)C(=O)[O-]
ZINC00005359,Clc1cncc(n1)[C@@H]1C[NH+]2CCC1CC2
ZINC00005389,[O-]C(=O)/C=C/c1ccc(cc1)Cn1ccnc1
ZINC00005423,N
ZINC00005452,COc1ccc2c(c1)c(c[nH]2)C[C@@H]1CCC[NH+]1C
ZINC00005467,C
ZINC00005475,O=C(Nc1cccnc1)Nc1ccc2c(c1)ccn2C
ZINC00005543,Nc1nc2c(c[nH]c2c(=O)[nH]1)Cc1cscc1
ZINC00005554,CCC[NH+]([C@H]1CCc2c(C1)c1c(C=O)c[nH]c1cc2)CCC
ZINC00005560,[O-]C(=O)[C@H](c1cccc(c1)C(=O)c1ccccc1)C
ZINC00005569,CNc1sc2c(n1)c(Cc1cccnc1)c(c(c2C)O)C
ZINC00005608,COc1ccc2c(c1)c(CCNC(=O)C)ccc2
ZINC00005661,CC(c1nnc(s1)COc1ccc2c(c1)oc(=O)c(c2C)C)C
ZINC00005691,Clc1ccc2c(c1)c(c([nH]2)C(=O)N)S(=O)(=O)c1ccccc1
ZINC00005723,S=C(Nc1nccs1)NCCc1ccccc1
ZINC00005739,O=C(N([C@@H](c1ccccc1)C[NH+]1CCCC1)C)Cc1ccccc1
ZINC00005803,CN(c1cccc2c1cccc2S(=O)(=O)[N-]c1onc(c1C)C)C
ZINC00005824,COc1cc(Cc2cnc(nc2N)N)cc(c1Br)OC
ZINC00005833,O=C(C1CCC1)NCCc1cccc2c1cccc2
ZINC00005852,Clc1ccc2c(c1)c(Sc1ccccc1)c([nH]2)C(=O)N
ZINC00005871,N
ZINC00005878,NC(=O)c1cccnc1
ZINC00005882,CCn1nc(c2cccnc2)c2c(c1=O)cccc2
ZINC00005886,NC(=O)CCc1c[nH]cc1
ZINC00005895,C[NH+](CCc1c[nH]c2c1cc(cc2)Cn1cncn1)C
ZINC00005898,C1CC[C@@H]([NH2+]1)c1cccnc1
ZINC00005900,COc1ccc(cc1)/C=C\c1cc(OC)c(c(c1)OC)OC
ZINC00005903,c1ccc(cc1)CNc1nc(nc2c1cccc2)c1cccnc1
ZINC00005910,Clc1ccc2c(c1)[nH]c(c(c2=O)c1ccccc1)[O-]
ZINC00005936,Oc1ccc(cc1)[C@@H]([C@@H]([NH+]1CCC(CC1)(O)c1ccccc1)C)O
ZINC00005947,O=C(c1ccc(c(c1)Cl)Cl)N1CCCC(=N1)c1ccccc1
ZINC00005986,Fc1ccc(cc1)Cc1ccc(s1)C
ZINC00005994,O=C(N1CCc2c1cc1ccn(c1c2)C)Nc1cccnc1
ZINC00006016,COc1ccc(cc1)[C@H](C1(O)CCCCC1)C[NH+](C)C
ZINC00006097,COc1cc(N)c(cc1C(=O)OCC[NH+]1CCCCC1)Cl
ZINC00006156,NC(=O)C[S@@](=O)C(c1ccccc1)c1ccccc1
ZINC00006157,NC1=[NH+]C[C@H]2N1c1ccccc1Cc1c2cccc1
ZINC00006164,[O-]C(=O)C[C@@H]1OCC([NH2+]C1)(C)C
ZINC00006165,[O-][N+](=O)c1cccc(c1)c1cc(Cc2ccncc2)cc2c1nccc2
ZINC00006170,Nc1nc2n(CCc3ccccc3)ncc2c2n1nc(n2)c1ccco1
ZINC00006213,NC(=O)c1cc(nnc1Cl)c1ccncc1
ZINC00006228,OC[C@H]1O[C@H]([C@H]([C@@H]1O)F)n1cc(C)c(=O)[nH]c1=O
ZINC00006299,Nc1ccc(cc1)c1nc2c(s1)cccc2
ZINC00006302,CCn1nnc(n1)C1=CCC[NH+](C1)C
